Feature#Diplomatic#Scribal A#Scribal B
add#x#√#√
Correction (TEI sic/corr)#sic#corr#corr
Mutiform (TEI orig/reg)#orig#orig#reg
Restoration (TEI abbr/expan)#abbr#abbr#abbr
unclear#√#√#√
gap#?#?#?
